IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
IND02M26;Број активних привредних друштава у стечају;12;2020;70025;Алексинац;6;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M27;Број активних предузетника;12;2020;70025;Алексинац;1320;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M28;Број активних предузетника по NACE Rev.2  (сектор A);12;2020;70025;Алексинац;22;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M29;Број активних предузетника по NACE Rev.2  (сектор B);12;2020;70025;Алексинац;4;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M30;Број активних предузетника по NACE Rev.2  (сектор C);12;2020;70025;Алексинац;232;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M31;Број активних предузетника по NACE Rev.2  (сектор D);12;2020;70025;Алексинац;1;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M32;Број активних предузетника по NACE Rev.2  (сектор E);12;2020;70025;Алексинац;8;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M33;Број активних предузетника по NACE Rev.2  (сектор F);12;2020;70025;Алексинац;126;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M34;Број активних предузетника по NACE Rev.2  (сектор G);12;2020;70025;Алексинац;354;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M35;Број активних предузетника по NACE Rev.2  (сектор H);12;2020;70025;Алексинац;156;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M36;Број активних предузетника по NACE Rev.2  (сектор I);12;2020;70025;Алексинац;102;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
IND02M37;Број активних предузетника по NACE Rev.2  (сектор J);12;2020;70025;Алексинац;47;1/12/2021 2:07:54 PM;1/12/2021 2:07:54 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
